충전소명,위도,경도,연중 무휴 여부,충전기 타입,충전 속도,충전기 개수,지번 주소,도로명 주소
포도 호텔,33.317888,126.387442,O,데스티네이션,16,1,,
포레스트 96,35.063802,126.988657,O,데스티네이션,7,2,,
포시즌스 호텔 서울,37.57065,126.975399,O,데스티네이션,16,2,,
포항 - 오토파크,36.059093,129.320555,O,데스티네이션,7,1,,
핀크스 CC,33.31531,126.38863,O,데스티네이션,16,2,,
하동,35.03,127.9039,O,데스티네이션,7,1,,
한화 골든베이 골프 & 리조트,36.710281,126.172404,O,데스티네이션,7,3,,
한화리조트 설악 쏘라노,38.210584,128.528515,O,데스티네이션,16,3,,
한화리조트 해운대 티볼리,35.154582,129.145004,O,데스티네이션,7,3,,
현대 호텔 울산,35.519702,129.430355,O,데스티네이션,7,2,,
화성 - 동탄 롯데백화점,37.200831,127.097432,O,데스티네이션,7,1,,
휘닉스 평창,37.583282,128.322821,O,데스티네이션,7,4,,
힐튼 부산 & 아난티 코브 ,35.197984,129.227705,O,데스티네이션,16,5,,
